Collab,Article,laureate
b greenwald,"imperfect information, credit markets and unemployment",joseph stiglitz
jonathan eaton,the pure theory of country risk,joseph stiglitz
mark gersovitz,the pure theory of country risk,joseph stiglitz
richard arnott,randomization with asymmetric information a simplified exposition,joseph stiglitz
raaj sah,taxation and pricing of agricultural and industrial goods,joseph stiglitz
b greenwald,informational imperfections in the capital market and macro-economic fluctuations,joseph stiglitz
andrew weiss,informational imperfections in the capital market and macro-economic fluctuations,joseph stiglitz
b greenwald,pecuniary & market mediated externalities: towards a general theory of the welfare economics & economies with imperfect information & incomplete mrkts,joseph stiglitz
raaj sah,the architecture of economic systems: hierarchies and polyarchies,joseph stiglitz
alan s blinder,"money, credit constraints, and economic activity",joseph stiglitz
raaj sah,the economics of price scissors,joseph stiglitz
richard arnott,moral hazard and optimal commodity taxation,joseph stiglitz
raaj sah,"the social cost of labor, and project evaluation: a general approach",joseph stiglitz
richard arnott,"equilibrium in competitive insurance markets, the welfare economics of moral hazard: basic analytics",joseph stiglitz
richard arnott,equilibrium in competitive insurance markets: the welfare economics of moral hazard,joseph stiglitz
william jack,stochastic capital theory i comparative statics,joseph stiglitz
michael rothschild,stochastic capital theory i comparative statics,joseph stiglitz
p dasgupta,"strategic considerations in invention and innovation: the case of natural resources (now published in econometrica, vol 51, no5 (1983))",joseph stiglitz
richard berk,"strategic considerations in invention and innovation: the case of natural resources (now published in econometrica, vol 51, no5 (1983))",joseph stiglitz
richard arnott,"labour turnover, wage structures and moral hazard",joseph stiglitz
p dasgupta,"industrial structure and the nature of innovative activity (now published in economic journal, vol90 (june 1980)pp226-293)",joseph stiglitz
p dasgupta,the taxation of exhaustible resources,joseph stiglitz
geoffrey m heal,the taxation of exhaustible resources,joseph stiglitz
joseph stiflitx,the taxation of exhaustible resources,joseph stiglitz
richard arnott,aggregate land rents and aggregate transport costs,joseph stiglitz
j neary,towards a reconstruction of keynesian economics: expectations and constrained equilibria,joseph stiglitz
steven salop,bargains and ripoffs: a model of monopolistically competitive price dispersion,joseph stiglitz
steven salop,a framework for analyzing monopolistically competitive price dispersion,joseph stiglitz
michael boskin,some lessons from the new public finance,joseph stiglitz
richard arnott,"aggregate land rents, aggregate transportation costs and expenditure on public goods",joseph stiglitz
peter a diamond,increase and in risk aversion,joseph stiglitz
michael rothschild,some further results on the measurement of inequality,joseph stiglitz
p dasgupta,benefit-cost analysis and trade policies,joseph stiglitz
p dasgupta,"differential taxation, public goods, and economic efficiency",joseph stiglitz
michael rothschild,increasing risk: a definition and its economic consequences,joseph stiglitz
karl shell,"capital gains, income, and saving",joseph stiglitz
m sidrauski,"capital gains, income, and saving",joseph stiglitz
stefano battiston,default cascades: when does risk diversification increase stability?,joseph stiglitz
domenico gatti,default cascades: when does risk diversification increase stability?,joseph stiglitz
m gallegati,default cascades: when does risk diversification increase stability?,joseph stiglitz
b greenwald,default cascades: when does risk diversification increase stability?,joseph stiglitz
ira regmi,the causes of and responses to today’s inflation,joseph stiglitz
kevin gallagher,understanding the consequences of imf surcharges: the need for reform,joseph stiglitz
martín guzman,"the pandemic economic crisis, precautionary behavior, and mobility constraints: an application of the dynamic disequilibrium model with randomness† [a new view of technological change]",joseph stiglitz
giovanni dosi,introduction to the first annual special issue on macro economics and development [beyond dsge models: toward an empirically based macroeconomics],joseph stiglitz
giovanni dosi,icc announcement: annual special issue on macro economics and development,joseph stiglitz
д ю,"ключевые проблемы, стоящие перед современными финансами: как заставить финансовый сектор служить обществу // key challenges facing modern finance: making the financial sector serve society",joseph stiglitz
fabio clementi,correction to: mis-measurement of inequality: a critical reflection and new insights,joseph stiglitz
m gallegati,correction to: mis-measurement of inequality: a critical reflection and new insights,joseph stiglitz
lisa gianmoena,correction to: mis-measurement of inequality: a critical reflection and new insights,joseph stiglitz
simone landini,correction to: mis-measurement of inequality: a critical reflection and new insights,joseph stiglitz
fabio clementi,mis-measurement of inequality: a critical reflection and new insights,joseph stiglitz
m gallegati,mis-measurement of inequality: a critical reflection and new insights,joseph stiglitz
lisa gianmoena,mis-measurement of inequality: a critical reflection and new insights,joseph stiglitz
simone landini,mis-measurement of inequality: a critical reflection and new insights,joseph stiglitz
cragg mike,the economists’ voice: special issue on nutrition and poverty introduction,joseph stiglitz
rabah arezki,from global savings glut to financing infrastructure,joseph stiglitz
patrick bolton,from global savings glut to financing infrastructure,joseph stiglitz
sanjay peters,from global savings glut to financing infrastructure,joseph stiglitz
frédéric samama,from global savings glut to financing infrastructure,joseph stiglitz
antara haldar,"group lending, joint liability, and social capital",joseph stiglitz
kaushik basu,sovereign debt and joint liability: an economic theory model for amending the treaty of lisbon,joseph stiglitz
skylar brooks,intercreditor and debtor-creditor equity issues in sovereign debt restructuring,joseph stiglitz
martín guzman,intercreditor and debtor-creditor equity issues in sovereign debt restructuring,joseph stiglitz
doménico lombardi,intercreditor and debtor-creditor equity issues in sovereign debt restructuring,joseph stiglitz
